source,target,weight
Retina,Anterior pretectal nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone lateral region dorsal domain,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone lateral region dorsal domain,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone lateral region dorsal domain,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Lateral septal nucleus ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia innominata,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia innominata,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia innominata,5
CA3,CA1,5
cornu ammonis,lateral mamillary nucleus,2
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia innominata,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia innominata,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Medial septal nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus of the diagonal band,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Lateral preoptic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Superior colliculus intermediate gray layer sublayer b,5
Retina,Medial terminal nucleus of the accessory optic tract,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Superior colliculus intermediate gray layer sublayer b,5
Caudoputamen,Tuberomammillary nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Superior colliculus intermediate deep gray layer,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Superior colliculus intermediate deep gray layer,5
Caudoputamen,Lateral preoptic area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Zona incerta,5
dentate gyrus,cornu ammonis,2
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Lateral hypothalamic area,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29c,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Lateral hypothalamic area,5
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 30,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Commissural nucleus,5
supramamillary nucleus,medial septal nucleus,2
supramamillary nucleus,cornu ammonis,2
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Sublaterodorsal nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Retrochiasmatic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division central lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division central lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division central lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division dorsal lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division dorsal lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division ventral lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus lateral division ventral lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus medial division medial medial part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus medial division medial medial part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parabrachial nucleus medial division medial medial part,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Substantia innominata,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia nigra compact part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia nigra compact part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia nigra reticular part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Commissural nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Substantia nigra reticular part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Ventral tegmental area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Ventral tegmental area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Ventral tegmental area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Precommissural nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Precommissural nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Commissural nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray rostromedial division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray rostromedial division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray rostromedial division,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Central nucleus of amygdala medial part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray rostromedial division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray medial division,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Lateral hypothalamic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray medial division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray medial division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray medial division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray dorsal division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray dorsal division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray ventrolateral division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray ventrolateral division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Periaqueductal gray ventrolateral division,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus of Darkschewitsch,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus of Darkschewitsch,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Zona incerta,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Lateral tegmental nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Lateral tegmental nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Laterodorsal tegmental nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Laterodorsal tegmental nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Sublaterodorsal nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Tuberal nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Locus coeruleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Locus coeruleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Barrington nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Barrington nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Barrington nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine central gray,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine central gray,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine central gray,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine central gray,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Interfascicular nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Interfascicular nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pedunculopontine nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Rostral linear nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Rostral linear nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Central linear nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Central linear nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Central linear nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Superior central nucleus raphe medial part,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Substantia innominata,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Dorsal nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Dorsal nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Dorsal nucleus raphe,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe magnus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe magnus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe magnus,5
area 7,area 24b,2
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe pallidus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe pallidus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe pallidus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe pallidus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe obscurus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus raphe obscurus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pedunculopontine nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Mesencephalic reticular nucleus,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Lateral hypothalamic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Mesencephalic reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Mesencephalic reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Retrorubral area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Retrorubral area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Retrorubral area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Cuneiform nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Cuneiform nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine reticular nucleus caudal part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine reticular nucleus caudal part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine reticular nucleus rostral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Pontine reticular nucleus rostral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Gigantocellular reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Gigantocellular reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Gigantocellular reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paragigantocellular reticular nucleus lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paragigantocellular reticular nucleus lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Magnocellular reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Magnocellular reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Magnocellular reticular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Medullary reticular nucleus ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Medullary reticular nucleus ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Anterodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Anterodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Anterodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Magnocellular preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Interanteromedial nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Interanteromedial nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Lateral hypothalamic area,5
Retrosplenial cortex Area 29c,EC,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Taenia tecta ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Taenia tecta ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Mediodorsal nucleus of the thalamus medial part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Mediodorsal nucleus of the thalamus medial part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Mediodorsal nucleus of the thalamus medial part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Cortical nucleus of the amygdala posterior part lateral zone,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Cortical nucleus of the amygdala posterior part lateral zone,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Prelimbic area,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Lateral hypothalamic area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Nucleus reuniens,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Intermediodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Intermediodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Intermediodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Intermediodorsal nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Agranular insular area dorsal part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Agranular insular area dorsal part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Agranular insular area dorsal part,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Agranular insular area ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Agranular insular area ventral part,5
Precommissural nucleus,Medial septal nucleus,5
Precommissural nucleus,Nucleus of the diagonal band,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Lateral hypothalamic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Infralimbic area,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paraventricular nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paraventricular nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paraventricular nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paraventricular nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paraventricular nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Paraventricular nucleus of the thalamus,5
Median preoptic nucleus,Lateral preoptic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parataenial nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parataenial nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Infralimbic area,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Lateral tegmental nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Claustrum,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Basolateral nucleus of the amygdala posterior part,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Bed nuclei of the stria terminalis oval nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Basolateral nucleus of the amygdala posterior part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Basomedial nucleus of the amygdala,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Basomedial nucleus of the amygdala,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Basomedial nucleus of the amygdala anterior part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Basomedial nucleus of the amygdala anterior part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division ventral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division ventral part,5
Median preoptic nucleus,Anterodorsal preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division lateral part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division median part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Nucleus reuniens rostral division median part,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Edinger-Westphal nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Edinger-Westphal nucleus,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Nucleus of the diagonal band,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Central medial nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Central medial nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Central medial nucleus of the thalamus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Lateral hypothalamic area,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parafascicular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,Parafascicular nucleus,5
Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterolateral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterolateral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala medial part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterolateral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterolateral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterolateral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anteroventral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anteroventral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anteroventral area,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis oval nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis oval nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis oval nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis juxtacapsular nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis rhomboid nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis rhomboid nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Bed nuclei of the stria terminalis oval nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis posterior division transverse nucleus,5
Bed nuclei of the stria terminalis  anterior division  subcommisural zone,Lateral preoptic area,5
Lateral Entorhinal Area,Perirhinal cortex Area 36,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis posterior division dorsal nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Caudoputamen,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Zona incerta,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Nucleus reuniens caudal division posterior part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Nucleus reuniens caudal division posterior part,5
Perirhinal cortex Area 36,Dentate gyrus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Bed nuclei of the stria terminalis anterior division anterodorsal area central core,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Vascular organ of the lamina terminalis,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Suprachiasmatic preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Suprachiasmatic preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Median preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Median preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Median preoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Anteroventral periventricular nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Preoptic periventricular nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Preoptic periventricular nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Supraoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Supraoptic nucleus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  lateral parvicellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  lateral parvicellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  forniceal part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  descending division  forniceal part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  anterior magnocellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  posterior magnocellular part  medial zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  posterior magnocellular part  lateral zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala medial part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala medial part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala medial part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala lateral part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Central nucleus of amygdala capsular part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Medial nucleus of the amygdala anterodorsal part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Intercalated nuclei of the amygdala,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Anterior periventricular nucleus of the hypothalamus,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Bed nuclei of the stria terminalis anterior division fusiform nucleus,Dorsomedial nucleus of the hypothalamus posterior part,5
