source,target,weight
locus coeruleus,Area ventralis tegmenti,7
diencephalon,Nidopallium intermedium,7
tegmentum,nucleus pedunculo-pontinus,7
EC,Dentate gyrus,5
mediodorsal nucleus of thalamus,14,2
primary visual cortex,secondary visual cortex,
LIP,FEF,2
Presubiculum,Medial Entorhinal Area,5
LIP,7a,2
mediodorsal nucleus of thalamus,9,2
claustrum,9,2
9,claustrum,2
Retrosplenial cortex Area 29c,CA1,5
accessory basal amygdaloid nucleus  parvicellular part,accessory basal (magnocellular) nucleus of the amygdala,2
accessory basal amygdaloid nucleus  parvicellular part,amygdalohippocampal area,2
medial basal nucleus of the amygdala,amygdala,2
extrastriate area oa,nucleus caudatus; genu  medial  dorsal,2
extrastriate area oa,nucleus caudatus; genu,2
accessory basal amygdaloid nucleus  parvicellular part,amygdala,2
medial basal nucleus of the amygdala,lateral nucleus  amygdala,2
Precommissural nucleus,Anterior hypothalamic nucleus anterior part,5
accessory basal amygdaloid nucleus  parvicellular part,central nucleus of the amygdala,2
Precommissural nucleus,Anterior hypothalamic central part,5
medial nucleus of the amygdala,accessory basal nucleus (amygdala),2
Nucleus incertus diffuse part,Subiculum,5
Precommissural nucleus,Anterior hypothalamic posterior part,5
accessory basal amygdaloid nucleus  parvicellular part,central nucleus of the amygdala,2
accessory basal amygdaloid nucleus  parvicellular part,cortical nucleus (amygdala),2
Nucleus incertus diffuse part,Tegmental reticular nucleus,5
medial nucleus of the amygdala,amygdala,2
Lateral hypothalamic area,Septofimbrial nucleus,5
11,claustrum,2
11,reticular nucleus of thalamus,2
46,claustrum,2
CA1,Lateral Entorhinal Area,5
Parasubiculum,CA3,5
Presubiculum,PER,5
cortical area 3b,cortical areas 1 & 2,2
V4,PIT,2
accessory basal amygdaloid nucleus  parvicellular part,lateral basal nucleus of the amygdala,2
accessory basal amygdaloid nucleus  parvicellular part,lateral nucleus  amygdala,2
area 10,dorsal area 46,2
area 23b,area 11,2
accessory basal amygdaloid nucleus  parvicellular part,medial basal nucleus of the amygdala,2
